draw	prepare	execute	process
1.32	0.37	5.37	0.85
1.42	0.37	5.25	0.85
1.31	0.34	5.46	0.82
1.38	0.37	7.32	1.13
1.61	0.40	8.67	1.07
1.52	0.37	5.92	1.07
1.47	0.40	5.98	0.95
1.91	0.27	6.16	0.92
2.07	0.21	6.50	1.01
1.93	0.24	6.07	0.95
2.12	0.40	5.80	0.98
1.52	0.31	4.58	0.76
1.20	0.31	4.70	0.76
1.21	0.34	4.52	0.73
1.16	0.31	4.61	0.73
1.08	0.31	4.46	0.79
1.39	0.31	4.49	0.76
1.19	0.31	4.55	0.76
1.14	0.34	4.49	0.73
1.42	0.31	4.46	0.73
1.19	0.34	4.85	0.76
1.11	0.31	4.67	0.76
1.39	0.31	4.55	0.76
1.16	0.31	4.55	0.76
1.41	0.31	4.18	0.73
1.18	0.31	4.39	0.73
1.25	0.31	4.30	0.73
1.70	0.18	7.87	0.58
1.77	0.21	4.12	0.52
2.15	0.18	4.24	0.55
2.03	0.12	3.69	0.58
3.23	0.15	3.72	0.52
2.73	0.15	3.75	0.52
3.41	0.15	3.78	0.52
3.05	0.15	3.75	0.52
2.69	0.15	4.06	0.55
3.01	0.12	3.88	0.52
2.78	0.15	3.75	0.55
3.15	0.15	3.63	0.55
2.86	0.15	3.69	0.58
5.00	0.21	5.83	0.73
1.78	0.27	5.80	0.85
1.88	0.21	5.19	0.85
2.44	0.18	5.37	0.82
1.75	0.37	5.28	0.85
1.76	0.37	5.31	0.89
1.31	0.37	5.25	0.85
1.50	0.37	5.31	0.85
1.33	0.37	5.19	0.82
1.31	0.55	5.28	0.85
1.32	0.37	5.28	0.82
1.30	0.37	5.13	0.85
1.28	0.37	5.16	0.85
1.50	0.37	5.34	0.85
1.36	0.37	6.56	1.10
1.37	0.40	8.15	1.10
1.38	0.40	6.23	0.98
1.97	0.37	5.74	1.01
1.13	0.49	13.06	0.76
1.47	0.18	4.49	0.58
